,source,target
0,128,125
1,130,124
2,127,123
3,128,122
4,129,120
5,126,118
6,125,118
7,119,117
8,129,116
9,122,116
10,124,115
11,130,109
12,117,109
13,112,108
14,120,106
15,115,106
16,126,105
17,110,97
18,108,97
19,98,93
20,114,91
21,102,90
22,94,88
23,100,87
24,92,87
25,93,86
26,107,84
27,86,84
28,99,83
29,112,81
30,119,80
31,81,80
32,127,79
33,91,79
34,103,78
35,103,77
36,92,77
37,121,74
38,114,74
39,89,73
40,96,72
41,75,72
42,105,71
43,98,71
44,110,70
45,123,69
46,111,69
47,102,68
48,101,68
49,77,67
50,99,66
51,88,66
52,67,66
53,113,65
54,111,65
55,90,64
56,85,64
57,107,63
58,94,63
59,100,61
60,82,61
61,101,60
62,96,60
63,84,59
64,75,59
65,85,58
66,62,58
67,95,57
68,73,57
69,53,52
70,56,51
71,55,51
72,78,49
73,53,47
74,50,47
75,56,43
76,104,42
77,45,42
78,54,41
79,49,41
80,43,40
81,46,39
82,44,37
83,95,36
84,55,36
85,48,35
86,46,35
87,50,34
88,38,34
89,121,33
90,70,33
91,44,32
92,104,31
93,89,31
94,76,31
95,54,30
96,48,30
97,113,29
98,37,29
99,52,28
100,40,28
101,39,27
102,76,26
103,62,26
104,45,25
105,27,25
106,24,19
107,20,18
108,38,17
109,16,14
110,22,13
111,15,13
112,24,12
113,20,11
114,17,9
115,14,9
116,20,8
117,19,8
118,21,7
119,15,7
120,12,6
121,16,5
122,21,4
123,11,4
124,23,3
125,10,3
126,18,2
127,10,2
128,22,1
129,5,1
130,6,0
